"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","1861","25501","21145","-32","4","0","0","0","0","46","4","19","5"
"CondiserEnemyPosition","0","0","75359","916716","747162","82","4","0","0","0","0","74","37","60","4"
"ConsiderSelfOnly","0","0","6843","70170","52762","-30","4","0","0","0","0","52","9","34","3"
"CondiserEnemyPosition","0","0","122655","1616024","1354124","72","4","0","0","0","0","74","54","64","5"
"ConsiderSelfOnly","0","0","12428","139075","108610","-14","4","0","0","0","0","68","13","32","3"
"CondiserEnemyPosition","0","0","101579","1250333","1029366","94","4","0","0","0","0","75","44","65","4"
"ConsiderSelfOnly","0","0","10073","99790","73267","-30","4","0","0","0","0","58","11","40","2"
"CondiserEnemyPosition","0","0","33340","391228","312871","86","4","0","0","0","0","80","17","55","4"
"ConsiderSelfOnly","0","0","2275","31157","26080","-60","4","0","0","0","0","52","4","20","5"
"CondiserEnemyPosition","0","0","80799","991636","814134","96","4","0","0","0","0","76","34","67","4"
"ConsiderSelfOnly","0","0","9333","104233","80296","-32","4","0","0","0","0","50","14","31","3"
"CondiserEnemyPosition","0","0","18763","249121","208333","64","4","0","0","0","0","74","9","54","5"
"ConsiderSelfOnly","0","0","1732","23217","19242","-38","4","0","0","0","0","52","3","18","5"
"CondiserEnemyPosition","0","0","68999","806499","651771","90","4","0","0","0","0","72","32","65","4"
"ConsiderSelfOnly","0","0","2025","22726","17558","-32","4","0","0","0","0","52","3","29","3"
"CondiserEnemyPosition","0","0","17563","239757","201940","48","4","0","0","0","0","73","9","55","5"
"ConsiderSelfOnly","0","0","2785","32094","25370","-22","4","0","0","0","0","54","4","25","3"
"CondiserEnemyPosition","0","0","53889","666748","545671","80","4","0","0","0","0","70","27","61","4"
"ConsiderSelfOnly","0","0","6118","66319","51558","-22","4","0","0","0","0","49","9","30","3"
"CondiserEnemyPosition","0","0","46730","548666","441558","88","4","0","0","0","0","72","22","64","4"
"ConsiderSelfOnly","0","0","8994","101475","79772","-22","4","0","0","0","0","53","13","29","3"
"CondiserEnemyPosition","0","0","40822","505068","414004","90","4","0","0","0","0","73","18","65","4"
"ConsiderSelfOnly","0","0","8435","101813","81052","-32","4","0","0","0","0","48","16","25","4"
"CondiserEnemyPosition","0","0","43281","552447","456560","68","4","0","0","0","0","70","23","57","4"
"ConsiderSelfOnly","0","0","9506","105913","81396","-22","4","0","0","0","0","54","13","33","3"
"CondiserEnemyPosition","0","0","27693","313046","248513","78","4","0","0","0","0","66","16","59","3"
"ConsiderSelfOnly","0","0","6371","68499","52732","-32","4","0","0","0","0","48","9","32","3"
"CondiserEnemyPosition","0","0","62448","744995","604283","88","4","0","0","0","0","65","35","59","4"
"ConsiderSelfOnly","0","0","8922","101995","79432","-22","4","0","0","0","0","54","13","29","3"
"CondiserEnemyPosition","0","0","32743","395225","321095","78","4","0","0","0","0","68","17","59","4"
"ConsiderSelfOnly","0","0","7934","94977","74833","-32","4","0","0","0","0","49","14","27","3"
"CondiserEnemyPosition","0","0","15175","207917","175042","48","4","0","0","0","0","67","9","51","5"
"ConsiderSelfOnly","0","0","3849","53040","43862","-22","4","0","0","0","0","55","7","20","5"
"CondiserEnemyPosition","0","0","25588","316916","260031","70","4","0","0","0","0","67","14","57","4"
"ConsiderSelfOnly","0","0","2087","20936","16007","-32","4","0","0","0","0","52","3","29","3"
"CondiserEnemyPosition","0","0","14926","213843","182834","58","4","0","0","0","0","69","8","51","6"
"ConsiderSelfOnly","0","0","2810","36173","29815","-22","4","0","0","0","0","56","5","19","4"
"CondiserEnemyPosition","0","0","66275","764030","618124","88","4","0","0","0","0","71","30","65","4"
"ConsiderSelfOnly","0","0","2452","30063","24407","-32","4","0","0","0","0","51","4","22","4"
