"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","5","1583","48088","38937","712","4","0","0","0","0","43","9","21","4"
"AbaProReimplementation","4","5","1128","58027","49050","-89","4","0","0","0","0","33","18","13","5"
"PapadopoulosReimplementation","4","5","2034","63588","51572","750","4","0","0","0","0","41","10","27","4"
"AbaProReimplementation","4","5","736","40609","35662","-90","4","0","0","0","0","30","14","10","7"
"PapadopoulosReimplementation","4","5","3477","110571","91785","754","4","0","0","0","0","48","12","29","5"
"AbaProReimplementation","4","5","1702","75138","63464","-91","4","0","0","0","0","33","24","13","5"
"PapadopoulosReimplementation","4","5","1731","56877","46977","774","4","0","0","0","0","43","11","18","5"
"AbaProReimplementation","4","5","975","51226","44162","-92","4","0","0","0","0","37","20","8","7"
"PapadopoulosReimplementation","4","5","1566","49483","40833","764","4","0","0","0","0","41","7","27","4"
"AbaProReimplementation","4","5","2516","113909","96825","-92","4","0","0","0","0","31","24","21","5"
"PapadopoulosReimplementation","4","5","4090","127650","105340","812","4","0","0","0","0","44","16","30","4"
"AbaProReimplementation","4","5","1380","66676","58226","-94","4","0","0","0","0","30","25","10","7"
"PapadopoulosReimplementation","4","5","8395","278886","235696","840","4","0","0","0","0","49","23","36","5"
"AbaProReimplementation","4","5","575","0","0","0","0","0","0","0","0"
"PapadopoulosReimplementation","4","6","66","1671","1473","786","4","0","0","0","0","44","1","1","19"
